Burka	Bur
brunetka	brunet
założycielka	założyciel
szkopka	szkop
Warmiaczka	Warmiak
panczenistka	panczenista
grafomanka	grafoman
katowiczanka	katowiczanin
urzędniczka wysokiego szczebla	urzędnik wysokiego szczebla
mysłowiczanka	mysłowiczanin
dewiantka	dewiant
nauczycielka	nauczyciel
wynajmująca	wynajmujący
dygnitarka	dygnitarz
Somalijka	Somalijczyk
noworuska	noworuski
rychliczanka	rychliczanin
daltonistka	daltonista
parweniuszka	parweniusz
powódka	powód
orędowniczka	orędownik
formalistka	formalista
chórmistrzyni	chórmistrz
menelka	menel
łapaczka	łapacz
gnieźnianka	gnieźnianin
miliarderka	miliarder
pudlica	pudel
grubaska	grubas
bibliografka	bibliograf
austrofilka	austrofil
bukmacherka	bukmacher
kucharka	kucharz
olsztynianka	olsztynianin
frustratka	frustrat
Semitka	Semita
przestępczyni	przestępca
andrychowianka	andrychowianin
taryfiara	taryfiarz
siódmoklasistka	siódmoklasista
fordanserka	fordanser
lalkarka	lalkarz
higienistka	higienista
Maurytyjka	Maurytyjczyk
korespondentka	korespondent
bidula	bidak
Tyrolka	Tyrolczyk
wszystkowidząca	wszystkowidzący
dłużniczka	dłużnik
bulimiczka	bulimik
rutyniara	rutyniarz
awanturniczka	awanturnik
Argentynka	Argentyńczyk
Lombardka	Lombardczyk
pięcioboistka nowoczesna	pięcioboista nowoczesny
poławiaczka	poławiacz
mieszczka	mieszczanin
lojalistka	lojalista
Inguszka	Ingusz
wyborczyni	wyborca
karmelarka	karmelarz
strojnisia	strojniś
chałturzystka	chałturzysta
dziadówa	dziad
dereszowata	dereszowaty
wędrowniczka	wędrownik
celtolożka	celtolog
kulturystka	kulturysta
Kambodżanka	Kambodżanin
najemniczka	najemnik
obrażalska	obrażalski
pokrzywdzona	pokrzywdzony
piechurka	piechur
Maja	Maj
zabójczyni	zabójca
idiotka	idiota
sabotażystka	sabotażysta
wnuczka	wnuczek
gniada	gniady
doktórka	doktór
syndykalistka	syndykalista
delegatka	delegat
judoczka	judoka
sztangistka	sztangista
Burundyjka	Burundyjczyk
domowniczka	domownik
kapitalistka	kapitalista
Kujawianka	Kujawianin
zapominalska	zapominalski
dochtórka	dochtór
sprzedawczyni	sprzedawca
hipoterapeutka	hipoterapeuta
filosemitka	filosemita
swatka	swat
Babilonka	Babilończyk
Trynidadka	Trynidadczyk
szpadzistka	szpadzista
dostawczyni	dostawca
kandydatka	kandydat
Karelka	Karel
bojowniczka	bojownik
blogerka	bloger
rehabilitantka	rehabilitant
Łotyszka	Łotysz
gaździna	gazda
lisica	lis
eksperymentatorka	eksperymentator
wdowa	wdowiec
ankieterka	ankieter
nędzarka	nędzarz
biała	biały
Mohikanka	Mohikanin
liryczka	liryk
instrumentariuszka	instrumentariusz
essenka	esseńczyk
Krakowianka	Krakowiak
tricolorka	tricolor
Brytyjka	Brytyjczyk
reemigrantka	reemigrant
testatorka	testator
interlokutorka	interlokutor
głównodowodząca	głównodowodzący
braniewianka	braniewianin
rodzimowierczyni	rodzimowierca
pedofilka	pedofil
Dominikanka	Dominikańczyk
powieściopisarka	powieściopisarz
gramatyczka	gramatyk
zarządzająca	zarządzający
krytyczka	krytyk
ponuraczka	ponurak
winna	winny
lekarka	lekarz
hawanka	hawańczyk
Włoszka	Włoch
Rzymianka	Rzymianin
genuenka	genueńczyk
charakteropatka	charakteropata
gołębica	gołąb
purystka	purysta
zstępna	zstępny
filantropka	filantrop
arabka	arab
kawoszka	kawosz
gierałtowiczanka	gierałtowiczanin
protoplastka	protoplasta
ascetka	asceta
tanecznica	tanecznik
papieżyca	papież
florecistka	florecista
ałmatka	ałmatczyk
